,MODEL_STANDARD_NAME,CATE_NAME,PREDICT
1644,曙光dg6471c2.4(柴油),挑战者,曙光
1645,东风日产柴cwb459混凝土搅拌运输车,东风日产柴cwb系列,东风日产柴c
1658,通华tht5255gjb混凝土搅拌车,通华混凝土搅拌运输车,通华
1665,佳美mcv203.0at(96-01),佳美camry,佳美mcv
1666,先锋1.5at(混合),日本丰田先锋,先锋
1668,进口奔驰benza1401.4mt(两厢),奔驰a级,奔驰
1670,特塞尔1.3at,特塞尔tercel,特塞尔
1674,速乐娜2.4at(两门),速乐娜solara,速乐娜
1683,进口宝马bmw5系gtf07550i4.4tat掀背(201009),德国宝马5系gt,宝马bmw5系
1689,进口宝马bmw630i3.0at(06-10),德国宝马6系,宝马
1693,路虎卫士1102.4mt(90),卫士defender,卫士110
1698,解放ca6400ua1.3mt,陆豹,解放ca6400ua
1706,斯柯达弗曼1.3mt,捷克斯柯达弗曼,弗曼
1710,进口雪铁龙雪铁龙citroenc51.8mt(01-07),标致雪铁龙c5,citroe
1714,广州本田凌派hg7180gaa1.8lat,广汽本田凌派,广州本田凌派
1717,起亚康柯德1.8,韩国起亚康柯德,康柯德
1726,长安sc1030d,长安轻卡,长安
1733,北京bj2122.2,北京吉普切诺基,北京
1740,亚力士1.3,日本丰田亚力士,亚力士
1744,风度a333.0at,风度cefiro,风度a33
1747,风雅350xv3.5at,风雅fuga,风雅350x
1750,公爵nt302.8mt,公爵cedric,公爵nt30
1751,公爵pt302.8at,公爵cedric,公爵pt30
1756,解放ca1020k11lp90货车,金卡,解放ca1020
1757,解放ca1030k2l2轻型载货汽车,金卡,解放ca1030
1759,解放ca1036k2l2载货汽车,金卡,解放a
1760,解放ca1040k6l2载货汽车,金卡,解放ca10
1761,解放ca1040p90k7l2载货汽车,金卡,解放ca1040
1770,乘龙lz6400,乘龙客车,乘龙
1773,厦门金龙xmq6110y,金龙10米公路客车,金龙x
1774,厦门金龙xmq6111,金龙11米公路客车,金龙x
1775,长安sc6371d,长安之星,长安
1776,解放ca1092货车,解放j4长头系列,解放ca
1777,进口雪铁龙雪铁龙citroenc4picasso1.6tat5座基本型(2017),雪铁龙毕加索picasso,citroen
1784,进口宝马bmw6系f13640i3.0tat硬顶(201211),德国宝马6系,宝马bmw6系
1787,进口宝马bmwx1e8428i2.0tat(201112),德国宝马x1,宝马bmwx
1788,太空车glx2.5at,太空车spacewagon,太空车glx
1790,帕杰罗io1.8,帕杰罗pajero,帕杰罗io
1793,马克2.0mt,日本丰田马克,马克
1794,翼虎3.0at(四驱200410),翼虎maverick,翼虎
1795,江南jnj71501.5mt,江南传奇,江南
1799,林肯马克4.6mt,美国福特林肯马克,林肯马克
1801,凯泽西2.4at(201007),凯泽西kizashi,凯泽西
1804,黄海dd1020载货汽车,大柴神,黄海
1808,保时捷911卡雷拉43.6at(四驱),保时捷卡雷拉gt,保时捷9拉
1822,东风雪铁龙雪铁龙c4ldc7163tyaa1.6tat(201212),东风雪铁龙c4l,铁龙c4l
1823,东风eq6392p1.3mt,东风小康v27,东风
1842,欧曼bj4170skfja牵引汽车,欧曼雄狮,欧曼
1850,田园gs3.3,田园villager,田园gs
1851,田园ls3.3,田园villager,田园ls
1852,讴歌mdx3.7at(200610),日本本田讴歌极品\阿库拉,讴歌mdx
1857,南汽跃进nj1063dg,跃进小虎,南汽进
1861,厦门金龙xmq6950,金龙9米公路客车,金龙x
1865,斯达-斯太尔zz2256m4356,重汽越野货车,斯达-斯太尔
1866,北京bj1605四轮农用运输车,北京低速货车,北京
1867,华神dfd3126ff1自卸汽车,华神货车,华神
1868,江铃jx1033载货汽车,江铃轻卡,江铃
1876,解放ca1036k7l2p90载货汽车,金卡,解放ca0
1890,三星sxz6481,湛江三星轻型客车,三星
1892,金龙klq6966,海格9米公路客车,金龙
1895,保时捷911卡雷拉3.8(四驱),保时捷卡雷拉gt,保时捷雷拉
1896,保时捷911卡雷拉43.6(四驱),保时捷卡雷拉gt,保时捷拉
1908,郑州宇通zk6122h,郑州宇通12米公路客车,郑州宇通
1915,郑州宇通zk6739d,郑州宇通7米公路客车,郑州宇通
1919,厦门金龙xmq6116g,金龙11米城市客车,金龙x
1937,天汽美亚tm64802.3mt,天汽美亚顺风,美亚
1938,莱特艾斯yr212.0mt(92-00),陆地巡洋舰land cruiser,莱特艾斯
1939,法国雷诺古贝3.0mt,古贝coupe,古贝
1941,海尚sma71321.3mt(双燃料),上海华普海尚,海尚
1947,超霸4runner4.0,日本丰田超霸4runner,超霸4runner
1956,丰田ca7160gl1.6lat(12),卡罗拉,丰田
1964,解放ca1020k4载货汽车,一汽红塔轻卡,解放ca
1965,解放ca1026k17载货汽车,一汽红塔轻卡,解放
1973,斯达-斯太尔zz1313bn366,陕汽斯太尔,斯达-斯太尔
1985,江淮微卡hfc1033载货汽车,江淮骏铃,江淮微卡
1986,江淮微卡hfc1044k1r1载货汽车,江淮其它货车,江淮微卡
2041,切诺基bj2021e64.0lmt四驱,北京吉普切诺基,切诺基
2042,解放ca1120载货汽车,解放j4长头系列,解放ca110
2043,解放ca1313p7k2载货汽车,解放j5m(p7)悍威,解放
2045,五十铃nhr54ep,江西五十铃轻卡,nhr5
2061,跃进nj6470轻型客车,跃进suv,
2063,金杯sy6480ad,锐驰,金杯
2075,郑州宇通zk6600d,郑州宇通6米公路客车,郑州宇通
2090,护卫者1.6at,美国福特护卫者,护卫者
2093,江南jnj71111.1mt,江南精灵,江南
2098,福星2.5at(混合动力),美国福特福美来,福星力
2099,宾利欧陆6.0at,欧陆continental,欧陆
2100,蒙迪欧2.5at(200010-07),蒙迪欧mondeo,蒙迪欧
2106,吉奥e美ga7160ke41.6lat尊贵型(201405),伊美,e美
2107,东风vw系列eq3201vb1自卸汽车,东风v/w系列,东风vw系列
2113,海拉克斯rn40,海拉克斯hilux,海拉克斯rn40
2114,海拉克斯rn85,海拉克斯hilux,海拉克斯rn85
2115,海拉克斯rn86,海拉克斯hilux,海拉克斯rn8
2133,南京依维柯nj6493at,都灵v,依维柯
2134,亚星ybl6110h,亚星11米公路客车,亚星
2135,万利特gc22(86-95),万利特violet,万利特gc2
2136,佳奔e23(97-99),佳奔urvan,佳奔e2
2141,众泰jnj7152t1.5at(201006),众泰z200,众泰
2151,解放ca5242xxyp21k2厢式运输车,解放j5p(p21)奥威,解放
2168,迷你minicoopercountryman1.6tat四驱fun版(201308),mini countryman,ioop
2169,宾利雅致6.8,雅致arnage,雅致
2170,林肯城市towncar4.6at(90-97),城市town car,城市towncar
2173,郑州宇通zk6831h,郑州宇通8米公路客车,郑州宇通
2174,厦门金龙xmq6700,金龙7米公路客车,金龙x
2176,得利卡dn6491mt,东南得利卡,得利卡
2177,飞碟fd6600,飞碟6米公路系列,飞碟
2178,哈飞松花江hfj6373,松花江微面,飞松花江
2182,郑州宇通zk6115wd(卧铺),郑州宇通11米公路客车,郑州宇通
2196,达路ca7130sat1.3at(四驱),特锐,达路
2200,东风小康eq6390pf22,东风小康v27,东风小康
2203,进口标致标致peugeot5052.0mt(79-93),标致505,标致peugeot
2204,进口标致标致peugeot6072.9at(00),标致607,标致peugeot
2205,进口标致标致peugeot8063.0at(94-02),标致806,标致peugeot
2206,胜利sl6400,胜利轻型客车,胜利
2230,庆铃(五十铃)t系列皮卡tfs17hdlmxl两驱厢式运输车,庆铃t系列皮卡,庆铃()t系列皮卡
2234,东风eq4152ae牵引汽车,东风龙卡,东风
2239,五十铃ql5040x8,庆铃n系列商用车,
2240,日野fc164,日本日野货车,日野
2245,中国重汽斯达-斯太尔王zz3262m3060自卸汽车,重汽斯太尔,重汽斯达-斯太尔王
2265,解放ca1020k17载货汽车,一汽红塔轻卡,解放ca100
2282,克雷西达rx81(88-96),克雷西达cressida,克雷西达
2290,兰德酷路泽2024.6at(四驱),酷路泽fj cruiser,德酷路泽2
2291,英伦sc571501.5mt,上海华普英伦sc5,英伦
2297,克雷西达rx702.4mt(88-93),克雷西达cressida,西达rx70
2299,庆铃(五十铃)n系列轻型商用车nkr55laj厢式货车,庆铃n系列商用车,庆铃(五铃)n系列
2331,劳斯莱斯幻影6.7at(03),幻影phantom,幻影
2335,公爵王ny303.0mt,公爵cedric,公爵王
2340,沃尔沃9402.3at,瑞典沃尔沃940,沃尔沃940
2341,沃尔沃8502.4mt,瑞典沃尔沃850,沃尔沃850
2344,沃尔沃v402.0at(95-04),瑞典沃尔沃v40,沃尔沃v40
2345,进口标致标致peugeot40082.0lcvt四驱豪华版(201204),标致4008,标致peugeot
2346,沃尔沃s902.9at,瑞典沃尔沃s90,沃尔沃s90
2350,进口沃尔沃volvos803.2lat标准型(200610),瑞典沃尔沃s80,沃尔沃vol
2354,进口宝马bmw3系f30328i2.0tat三厢m运动型(201310),德国宝马3系,宝马bmw3系
2360,金杯sy6471ks,阁瑞斯,金杯
2366,金杯海狮c系列sy6500bc,锐驰,海狮
2382,红岩cq3260自卸汽车,红岩自卸车,红岩
2387,跃进nj1605,跃进低速货车,
2389,路虎发现34.0at(04-2009),发现discovery,发现3
2392,东南dn64021.6mt,东南菱利,东南
2397,海拉克斯yn85,海拉克斯hilux,海拉克斯yn
2398,吉奥ga1020载货汽车,猛将旅,吉奥
2408,大切诺基bj2021g4.04x4,北京吉普大切诺基,切诺基
2411,解放ca4180p66k2a牵引汽车,解放j6(p6),解放ca41
2414,黄海dd1023载货汽车,小柴神,黄海
2419,郑州尼桑zn2031u2r,郑州日产d22,郑州尼桑
2427,上汽大众svw7182pqd双燃料1.8mt(200801),桑塔纳,众
2429,路虎发现45.0amt(09),发现discovery,发现4
2431,路虎卫士902.5(90),卫士defender,卫士90
2444,海格klq6100g,海格10米城市客车,海格
2466,东风eq5101xxy厢式运输车,乘龙王子,东风
2469,跃进nj1038b系列货车,nj1030系列,nj1038系
2470,跃进nj1038c系列货车,nj1030系列,nj1038c系
2471,跃进nj1038d系列货车,nj1030系列,nj1038d系
2472,菱致v5dn7157l1.5lcvt(201210),东南菱致,菱致v5
2473,广汽菲亚特gfa7140aa1.4tmt(201209),菲翔,汽菲亚特
2474,林肯lincolnmkx2.7tat两驱尊享版(201510),林肯mkx,林肯lincolnmkx
2476,东风菱智lz5028,风行,东风菱智
2478,黄海dd6490,挑战者,黄海
2489,东风eq1126k载货汽车,东风k系列,东风
2511,进口英菲尼迪英菲尼迪infinitiq70l2.5lat精英版(201505),英菲尼迪q系列,英菲尼迪infinit
2514,进口标致标致peugeot307xsmt(两厢00-08),标致307,标致peugeo
2517,捷豹xkr-s5.0tat(07),捷豹xk级,捷豹xkr-s
2521,进口福特野马mustanggt5.0lat性能版(201508),美国福特野马,野马mustanggt
2522,解放ca1170p2k1载货汽车,解放j4(p2)大威,解放
2525,长丰猎豹v31v32v33系列cjy6470l2.4lmt标准型,v31/v32/v33系列,猎豹v31
2529,一汽奥迪a6(c5)2.4at(199909-200505),一汽奥迪a6l,一汽奥迪a6(c5)
2552,曙光dg6480c3.2,翱龙(傲龙),曙光
2562,南汽跃进nj1043dglw,nj1043/1062系列,南汽跃进
2577,猎犬harrier2.4l越野车,日本丰田猎犬harrier,猎犬harrier
2578,进口丰田普拉多prado40004.0lat四驱中配版(2010),日本丰田普拉多,普拉多prao
2598,南汽跃进nj1028dbs,跃进小虎,汽跃进
2599,斯达-斯太尔zz1151fj07,飞龙,斯达-斯太尔
2605,解放ca3160p1k8自卸汽车,解放j4(p1),解放ca
2606,解放ca3160k2自卸汽车,解放j4长头系列,解放
2607,解放ca1143p11k2载货汽车,解放j4(p1),解放
2609,解放ca1150p11k2载货汽车,解放j4(p1),解放ca1150
2610,解放ca1150pk2货车,解放j4(p),解放ca1150
2612,东风eq1045g51d载货汽车,金霸,东风
2613,东风eq1046t40d载货汽车,东风多利卡,东风
2624,金杯sy6390a5sbw轻型客车,金杯其它客车,金杯
2633,德国大众福克斯瓦根t5旅行车2.5tat,大众transporter,福克斯瓦根t5
2634,金杯sy63901.0mt,海星,金杯
2635,金杯sy6480dc1,霸道,金杯
2655,沃尔沃v502.4,瑞典沃尔沃v50,沃尔沃v50
2662,东风zn6441v1w1.5mt,郑州日产帅客,东风
2663,郑州日产日产nv200zn6440v1a31.6lmt232座尊雅型(201101),郑州日产nv200,郑州日产日产nv200
2666,日产zn6442v1a41.6mt,郑州日产nv200,日产
2668,东风eq1056g3ac载货汽车,康霸,东风
2669,福田bj6851,福田8米城市客车,福田
2671,福田bj6880,福田8米公路客车,福田
2673,福田欧v先锋bj6830,福田8米公路客车,欧v先锋
2674,福田bj6940,福田9米公路客车,福田
2677,解放ca6105,解放10米城市客车,解放
2678,解放ca6110,解放11米公路客车,解放
2680,解放ca9260半挂车,解放半挂车,解放
2681,解放ca6840,解放8米公路客车,解放
2684,解放ca6901,解放9米公路客车,解放
2686,解放ca6950,解放9米城市客车,解放
2697,进口宝马bmw1系f20116i1.6tmt两厢(201205),德国宝马1系,宝马bmw1系
2698,进口宝马bmw(bmwz8)z84.9lmt(98-03),德国宝马z8,宝马bmw(w)
2699,华泰元田sdh7180afa1.8tat,华泰b11,元田
2704,福田bj6100c6m系列城市客车,福田10米城市客车,福田
2712,东风zn6461w1f2.4mt,奥丁,东风
2713,兰瑟1.5at,兰瑟lancer,兰瑟
2715,兰瑟1300gl1.3mt,兰瑟lancer,兰瑟0l
2716,解放ca1082pk2载货汽车,解放j4(p),解放
2733,解放ca5180zlj,解放专用车,解放ca0
2735,解放ca5300ccqp2k2,解放j4(p2)大威,解放ca5300
2736,解放ca5300xxyp2k2,解放j4(p2)大威,解放ca
2737,捷豹jaguarxf2.0t(201109),捷豹xf级,捷豹jguarxf
2738,捷豹jaguarxf3.0t(201109),捷豹xf级,捷豹aguarxf
2739,保时捷porscheboxsters3.4at跑车(201203),保时捷博斯特boxster,保时捷pr
2741,郑州日产zn1033ucg2.4mt加长,郑州日产d22,郑州日产
2743,东风zn6500m系列2.5lmt,帕拉骐,东风系列
2745,东风zn5030tqxebx抢险车,帕拉骐,东风
2749,厦门金龙xmq6890g,金龙8米城市客车,金龙x
2750,厦门金龙xmq6891,金龙8米公路客车,金龙x
2762,东风小康eq6381lf,东风小康k07,东风小康
2773,进口凯迪拉克cadillacsrx3.6lat旗舰型(201311),美国通用凯迪拉克srx,拉克cadillacr
2776,上海华普飚风sxe7130x1.3lmt两厢天窗版(2003),上海华普飙风,飚风
2778,大众汽车svw6440hg1.4t7座双离合(201012),途安,众汽车
2779,南京依维柯nj1047sfn载货车,欧霸,依维柯
2781,南京依维柯nj6487(a35),得意,依维柯
2785,南京依维柯nj6826tmf,威尼斯之行,依维柯
2790,北京bj6466wjd12.4mt(201101),域胜007,北京
2791,解放ca1140pk4载货汽车,解放j4(p),解放ca1140
2795,解放ca3071p9k2自卸汽车,解放j4(p),解放a
2798,解放j4长头ca3120k2自卸汽车,解放j4长头系列,解放j4长头
2801,金杯sy1608,金杯低速货车,金杯
2811,金杯ca1043,金杯解放货车,金杯
2823,亚星ybl6920,亚星9米公路客车,亚星
2838,东风天锦dfl3060b,东风天锦(b),东风天锦
2862,解放ca5200ccqp1k2,解放j4(p1),解放ca5200
2863,解放ca5203xxyp7k2,解放j5m(p7)悍威,解放a
2865,解放ca5240clxyp1k2,解放j4(p1),解放ca520
2886,南京依维柯nj6686(a49),得意,南依维柯
2887,亚星ybl6900,亚星9米城市客车,亚星
2890,青年jnp6120ke,青年12米公路客车,青年
2895,长安马自达3星骋cam7209nc52.0lmt两厢运动型(201111),长安马自达星骋,长安马自达3星骋
2905,劳斯莱斯银天使5.4at,英国劳斯莱斯银天使,银天使
2906,劳斯莱斯银灵6.7,英国劳斯莱斯银灵,银灵
2921,海格klq6129,海格12米公路客车,海格
2930,众泰jnj6400evl(电动),众泰5008(乐睿),众泰
2941,曙光dg6480a2.4,领航者,曙光
2949,吉利jl7131(200212-08),豪情,
2952,华晨中华sy7150x1stbab1.5(双燃料),骏捷,中华
2955,五十铃ql6470d2.6(四驱),庆铃u系列竞技者,
2956,庆铃竞技者ql6470dj4x2柴油增压,庆铃u系列竞技者,庆铃竞技者
2967,大众汽车svw71612c(f)1.6lat(201212),桑塔纳,大汽车
2970,进口奔驰benzw631mb100,奔驰mb系列,奔驰
2971,雷克萨斯gws191gs3503.5at(05-12),雷克萨斯gs系,雷克萨斯
2975,金杯sy160t,金杯拖拉机,金杯
2976,金杯sy3030,金杯自卸车,金杯
2985,丰田ca646042.5lamt四驱(201308),rav4,丰田
2991,长安sc71061.0mt(201003),长安奔奔,长安
2998,万丰shk6470m,速达,万丰
3001,东风lz6472a2.0mt,东风风行,东风
3010,进口宝马bmw7系e65745li4.4lat三厢(2003),德国宝马7系,宝马bw7系
3017,马自达e18001.8mt,日本普力马/马自达5,马自达
3022,解放(一汽吉林)佳宝ca6390,佳宝v系列,佳宝
3030,广汽乘用车传祺gac6470d2h1.8tat两驱,传祺gs5,传祺ga
3044,双环ceohbj6471a2.44x4,双环sceo,双环ceo
3046,马自达e20002.0mt,日本普力马/马自达5,马自达e2
3049,北京吉普bj2021,北京吉普bj2020系列,吉普
3051,大众汽车svw71612b(e)1.6lmt(201212),桑塔纳,汽车
3052,斯巴鲁subaruxv2.0lcvt豪华导航版(201202),斯巴鲁xv,斯巴鲁subaruxv
3055,东风小康eq7130f1.3mt,东风小康k03,东风小康
3056,劳斯莱斯银刺6.7at,英国劳斯莱斯银刺,斯银刺
3064,解放ca6440ua1.3mt,陆豹,解放a0
3080,东风dfc3092f自卸汽车,东风长头系列,东风
3081,福田小卡之星bj5032v厢式运输车,时代小卡之星,福田小卡之星
3093,进口沃尔沃volvov402.0tat两厢t5crosscountry智雅版(201606),瑞典沃尔沃v40,沃尔沃volv
3094,林肯lincolnmkc2.0tat四驱尊耀版(201611),林肯mkc,林肯lincolnmkc
3095,吉利ec8jl7241m42.4lmt标准型,帝豪ec,吉利ec8
3101,迷你minione1.5tat两厢三门版(201805),mini cooper,你minione
3102,宾利飞驰6.0at(05),欧陆continental,飞驰
3104,金杯锐驰sy5031xje监测车,海狮,锐驰
3105,迷你minicoopers2.0tat两厢先锋派五门版(201604),mini cooper,迷你inicoopers
3107,三湘ck6126hwa,三湘12米公路客车,三湘
3111,众泰jnj7000evm1(电动),众泰2008,众泰
3112,众泰众泰5008jnj6406a11.3lcvt舒适型(2010),众泰5008(乐睿),众泰5008
3168,兰瑟1500glx1.5at,兰瑟lancer,兰瑟0
3175,尼桑zn5030xbk,郑州日产d22,尼桑
3180,金杯雪佛兰sy5020,开拓者blazer,
3188,帝豪jl7182b021.8lat,帝豪ec,帝豪
3192,吉奥ga6460e42.0mt(201010),吉奥奥轩,吉奥
3197,东风eq9390半挂运输车,东风挂车,东风
3200,东风云南eq5202,东风v/w系列,云南
3209,东风eq2030h越野汽车,东风皮卡,东风
3217,双环hbj6460,来旺,双环
3229,福克斯st2.0tmt(12),福克斯focus,福克斯st
3233,风迪思dn7162a1.6lmt(201308),东南三菱风迪思,风迪思
3235,江铃宝典jx64772.7lmt8座,江铃宝威,江铃宝典
3248,马自达cx-52.0at,日本马自达cx-5,马自达cx-5
3273,进口宝马bmw850ci,德国宝马8系,宝马
3277,进口宝马bmwe84x118i2.0at,德国宝马x1,宝马
3280,进口宝马bmwx1e8428i2.0tat领先型(201203),德国宝马x1,宝马bmwx1
3282,上汽通用五菱五菱之光五菱扬光lzw6390avf1.1lmt5座,五菱兴旺/五菱龙,五菱之光扬光
3284,郑州宇通zk6999,郑州宇通9米公路客车,郑州宇通
3292,江铃jx5026xxy厢式运输车,江铃宝典,江铃
3293,江铃jx5026xzh指挥车,江铃宝威,江铃
3308,进口宝马bmwx5e704.8i4.8lat豪华型(2008),德国宝马x5,宝马bmwx5
3310,进口宝马bmwminicooperclubman轿车(201010),mini cooper,宝马inio
3312,劳斯莱斯帕克沃德5.4at,英国劳斯莱斯帕克沃德,帕克沃德
3318,长安镭蒙空间王sc6398b1.0lmt8座,长安汽车镭蒙,长安镭蒙空间王
3326,三峰tj6481,三峰轻型客车,三峰
3336,福田风景传奇bj6488m16xa2.4lmt,风景冲浪,风景传奇
3341,宾利欧陆continentalgt4.0at,捷豹xj级,陆continenta
3346,海格klq6110g,海格11米城市客车,海格
3348,海格klq6118,海格11米公路客车,海格
3350,海格klq6601,海格6米公路客车,海格
3354,北京bj120t拖拉机,北京运输型拖拉机,北京
3363,东风eq500t运输型拖拉机,东风拖拉机,东风q
3367,东风eq1010f货车,东风微型货车,东风
3371,上汽大通sh6592a2d2.5tmt9座,大通maxus,
3372,亚星奔驰ybl5110xyle31医疗专用车,亚星专用车,奔驰
3374,亚星js5111xgc工程车,亚星专用车,亚星
3375,路虎发现24.0at(98-04),发现discovery,发现2
3376,进口路虎揽胜rangerover4.4lat(2002),揽胜range rover,揽胜rangeroer
3380,迷你minicooperscabrio1.6tat运动版(201010),mini cooper,icoop
3383,厦门金龙xmq6122,金龙12米公路客车,金龙x
3387,吉利全球鹰jl7151e41.5,豪情,全球鹰
3388,郑州宇通zk6139hg,郑州宇通13米城市系列,郑州宇通
3389,金龙klq6600e,海格6米公路客车,金龙
3397,一汽红旗红旗h5ca7188ate5tg11.8tat智联享动版(201804),一汽红旗h5,汽红旗h5
3404,金杯6480b2ch,海狮,
3427,北京bj5040ccy系列仓栅式运输车,北汽轻型货车,京
3440,东风eq5090ccqt仓栅式运输车,东风t系列,东风
3443,东风eq5141xxy7d厢式运输车,东风g系列,东风
3448,本田雅阁ca52.0mt,雅阁accord,本田雅阁ca5
3452,进口讴歌讴歌acuramdx3.0lat畅驭版(201703),讴歌mdx,讴歌acuramdx
3455,解放ca1250p2k2载货汽车,解放j4(p2)大威,解放ca1250
3457,解放ca1100pk2载货汽车,解放j4(p),解放ca1100pk
3460,思威rd12.0at(96-01),思威cr-v,思威rd1
3463,欧曼bj1160vjpjn,欧曼昆仑,欧曼
3483,江铃凯运jx1043,江铃轻卡,凯运
3484,瑞麒sqr7130j1.3mt(201112),瑞麒g3,瑞麒
3487,来宝hbj6470ya2.44x4,双环来宝srv,来宝
3498,解放ca1080pk2载货汽车,解放j4(p),解放ca1080
3506,众泰jnj6410evm2(电动),众泰2008,泰
3509,进口奥迪a73.0(四门),德国奥迪a7,奥迪a7
3510,青年jnp6125,青年18米公路城市客车,青年
3514,日本雅阁cb9at(90-93),雅阁accord,雅阁cb9
3519,中华sy7181cs1.8(混合动力),尊驰,中华
3524,起亚波登舍2.2,韩国起亚波登舍,波登舍
3527,江铃全顺jx6490,全顺新时代,全顺
3530,五十铃nkr55ll3座2吨轻型载货,江西五十铃轻卡,nkr55
3532,福田bj6605,福田6米公路客车,福田
3533,福田bj6103,福田10米公路客车,福田
3534,福田bj6110,福田11米公路客车,福田
3535,福田bj6111,福田11米城市客车,福田
3538,福田bj6120,福田12米公路客车,福田
3539,福田bj6121,福田12米城市客车,福田
3544,郑州宇通zk6896hg,郑州宇通8米城市客车,郑州宇通
3549,解放ca1100l5货车,解放j4长头系列,解放ca1100
3556,福田fhm5250gjb混凝土搅拌运输车,河北福田混凝土搅拌车,福田
3572,进口雪铁龙雪铁龙citroends41.6at,雪铁龙ds,citroen
3573,进口本田思威cr-zhybrid1.5lcvt(201207),本田cr-z,本田思威cr-z
3575,海马hma7101a1.0mt(201203),爱尚,海马
3577,起亚安特斯mt,韩国起亚安特斯,安特斯mt
3584,本田极品nsx3.0at(两门),日本本田讴歌极品\阿库拉,本田极品nsx
3587,宾利欧陆gtc6.0at(两门敞篷),欧陆continental,欧陆gtc
3594,迷你minicooperclubman1.6tat两厢excitement版(201205),mini cooper,ncoo
3601,金旅xml6120,金旅12米公路客车,金旅
3602,进口起亚普莱特pride1.3at,普莱德pride,普莱特pride
3603,起亚维斯特0.8,韩国起亚维斯特,起亚维斯特
3604,起亚秀玛1.6at,韩国起亚秀玛,起亚秀玛
3618,泰威shk6481m越野车,速威,泰威
3624,亚星奔驰ybl6120,亚星12米公路客车,奔驰
3625,亚星ybl6760,亚星7米公路客车,亚星
3630,海格klq6770g,海格7米城市客车,海格
3641,海格klq6850g,海格8米城市客车,海格
3642,金龙klq6895g城市客车,海格8米城市客车,金龙
3643,海格klq6820(8米城市客车),海格8米城市客车,海格k
3644,海格klq6856,海格8米公路客车,海格
3646,解放ca1190p11k2载货汽车,解放j4(p1),解放ca1190
3648,解放ca1201p1k2载货汽车,解放j4(p1),解放a
3649,东风悦达起亚起亚kx5yqz6443ae52.0latgl(201603),东风悦达起亚kx5,东风悦达起亚起亚kx5
3650,东风悦达起亚起亚k3yqz7169amde51.6latgl(201604),东风悦达起亚k3,东风悦达起亚起亚k3
3655,赛威savana6.0lat(97),美国通用赛威,赛威savana
3659,福田欧曼bj5253运油车,欧曼专用车,欧曼
3661,郑州宇通zk6108hg,郑州宇通10米城市客车,郑州宇通
3677,海格klq6820(8米公路客车),海格8米公路客车,海格k客
3682,解放ca1083k28l3载货汽车,解放其他车辆,解放
3685,解放ca5200xxyp63k1l6t3a3e厢式运输车,解放j6(p6),解放
3686,解放ca5080xbwpk2,解放j4(p),解放ca
3689,进口宝马bmw6系f12650i4.4tat三厢敞篷(201104),德国宝马6系,宝马系
3692,解放ca1070pk2载货汽车,解放j4(p),解放ca1070
3693,海马海福星hmc7160c1.6mt(200703),福美来,海福星
3707,跃进nj5021xxy系列厢式运输车,nj5020,
3708,跃进nj6601,跃进6米公路客车,
3709,跃进nj6701,跃进7米公路客车,
3712,跃进nj6850,跃进8米公路客车,
3714,安凯hff6103gk,安凯10米城市客车,安凯
3717,安凯hff6100k,安凯10米公路客车,安凯
3724,安凯hff6112gk,安凯11米城市客车,安凯
3725,安凯hff6110wk,安凯11米公路客车,安凯
3726,安凯hff6120g,安凯12米城市客车,安凯
3730,安凯hff6121k,安凯12米公路客车,安凯
3736,海格klq6966,海格9米公路客车,海格
3740,厦门金龙xmq6123g,金龙12米城市客车,金龙x
3749,蜀都cdk6800客车,蜀都8米客车,蜀都
3754,江铃jx5034xxy厢式运输车,江铃运霸,江铃
3761,解放ca5310xp4k2厢式载货汽车,解放j4(p4),解放
3765,东风eq1021nf载货汽车,东风小康,东风
3777,斯达-斯太尔zz5251gjb,专用车系列,斯达-斯太尔
3800,解放ca5163xxy,解放j5k(p9)骏威,解放
3808,纳智捷优6suvdym7182baa51.8tat时尚型(201406),优6 suv,纳智捷优6sv
3810,进口英菲尼迪英菲尼迪infinitiq503.7lat三厢舒适版(201404),英菲尼迪q系列,英菲尼迪infini
3811,纳智捷优6suvdym7182baa51.8tat智尊型(201406),优6 suv,纳智捷优6
3812,进口奔驰benzamggts4.0tdsg(201505),奔驰amg gt,奔驰amggts
3813,长城哈弗h6coupe蓝标cc6450um012.0t双离合两驱尊贵型(201504),哈弗h6 coupe,哈弗h6
3814,广汽乘用车传祺gac7181b1.8tg-dct舒适版,传祺ga6,传祺ga
3815,长安谛艾仕ds6cap7160eac31.6tat雅致版(201409),谛艾仕ds 6,长安谛艾仕ds6
3816,起亚kiak93.8lamt,起亚kia k9,起亚kiak9
3817,东风风神风神ax7dfm6470d5b2.0lat智悦型(201411),东风风神ax7,风神ax7
3825,郑州宇通zk6116hg,郑州宇通11米城市客车,郑州宇通
3828,郑州宇通zk6125hg,郑州宇通12米城市客车,郑州宇通
3829,郑州宇通zk6770hg,郑州宇通7米城市客车,郑州宇通
3831,郑州宇通zk6932hg,郑州宇通9米城市客车,郑州宇通
3840,解放ca5310thb,解放专用车,解放
3841,解放ca6100,解放10米城市客车,解放ca0
3842,解放ca6123,解放12米城市客车,解放
3843,解放ca6410ua,陆豹,解放
3876,东风日产颐达dfl7160mak1.6lat科技版(200812),东风日产逍客,东风日产颐达
3909,东风eq6472,东风飞狐,东风
3916,东风风神风神ax3dfm7150f2c1.5lmt尚酷型(201512),东风风神ax3,风神ax3
